from	to
7373736	3293726
4660313	4393970
10159342	10159342
5808490	5543198
5808490	3907250
5808490	2956066
5808490	1699075
8372455	8372455
4269003	2097240
8298309	8298309
8894626	712995
8894626	8894626
8836872	3540982
7050062	7050062
6451244	6804142
6451244	51685
6666660	4867531
8234476	3954958
8234476	8234476
1417053	4785185
4109069	5140223
2610323	2610323
2954187	5974433
7090133	5140223
3147590	3574081
3147590	5904928
7865134	1329296
7865134	8563649
7054410	7054410
3854058	3990607
4841392	2956066
5432071	2099607
5171213	5974433
5171213	349130
4279227	8563649
8251036	1714410
8251036	4151395
9662411	349130
6315101	7896849
8919365	712995
2475195	9905470
2475195	2097240
1615732	1714410
7482867	4573275
7482867	4573275
5507905	5507905
5352399	5352399
4482655	1844390
4482655	3954958
7575552	9758922
9287711	8563649
1669710	1097517
6691834	5763590
6636290	2217210
6636290	3994228
7907205	2099607
7907205	7907205
9008599	712995
2521225	3236925
2521225	2956066
5651936	691733
5651936	5297811
5651936	3901871
2571168	3417688
2571168	2097240
6802252	4137497
4473303	2476920
7644710	624547
2411320	3633250
user9942241	5825953
user9942241	9698518
9953596	2097240
7688740	712995
2276831	9412325
2276831	9938167
5468985	8075709
5468985	8075709
3990607	3990607
5688175	604734
5129113	2097240
5129113	6796042
5063789	8143158
5063789	7984359
9238717	8334261
1560300	1735003
1560300	1868775
4196810	8563649
1934212	1471972
1934212	8563649
5904928	8793975
7146153	349130
7146153	7430165
5638586	1502527
7297756	1951176
7297756	419116
3947361	9758922
5181947	712995
9527885	8501250
1538049	5056575
1538049	5834394
9871654	1538049
2093930	5352399
9517822	9758922
6761066	2658050
6878758	6878758
7943280	712995
1610428	8143158
697363	7129470
2452761	5098368
2452761	419116
2452761	2956066
8364914	9758922
5257891	8563649
5257891	5974433
5257891	5972246
9755419	4790871
9794186	7158702
9794186	9590820
9794186	6470853
7388586	1735003
7388586	9535747
1923086	3994824
1923086	2097240
9137052	4790871
user8566323	130288
934904	712995
7994236	7994236
1037845	562769
8485963	9758922
4974473	5974433
1783398	5974433
1783398	2097240
5171213	5974433
3851234	5974433
7906327	5974433
9605728	9014655
9605728	9754058
9061899	6780025
2279682	5886801
8376578	9535747
1559696	1531463
1446289	1626564
1446289	1446289
916691	2097240
5225453	5225453
5904928	4320693
5904928	5904928
590335	2097240
1218046	5234494
1218046	562769
9364291	8805315
9364291	3994824
6997153	901925
2487256	4320693
2487256	1782792
2487256	8793975
9219699	1805756
8526434	2097240
8241607	624547
5922381	349130
423977	5668710
7280300	5974433
8553203	5974433
8375348	712995
6438307	2891324
6438307	3901871
1860369	1626564
7796520	567620
7796520	2097240
9118677	8563649
1601580	2956066
7763306	7763306
7763306	9357259
9115663	5354373
3523464	7224320
9544630	7984359
5904928	1510542
5904928	5904928
8426349	9590820
8426349	8913947
3604136	349130
2990927	6095189
2990927	7433039
7994456	712995
6422477	712995
3291198	1531463
7122952	7122952
3424990	6729010
3424990	4356204
4871661	2237916
4802126	3990607
1932978	2848578
1179925	1531463
4773697	8563649
4773697	349130
4773697	4098013
2600357	1847419
8226050	1714410
7448860	1508542
7457101	9412325
8055061	3994824
4844184	1714410
4844184	4844184
4345535	3990607
4345535	4345535
8770778	8770778
5863689	8563649
5863689	2097240
6734133	5708323
6734133	507062
183123	1714410
3990607	3990607
5359882	5974433
4380945	1714410
4380945	222216
7759152	712995
8286720	2650622
1823270	4449586
2863057	3990607
712995	712995
8710510	3236925
5440222	3990607
3789200	9418446
3860928	3214872
470184	712995
1351721	9015998
8404593	5744361
8404593	7018582
6341510	3016988
2612484	2097240
8795104	3994824
9418446	4640905
2178942	4640905
818663	6735980
7091449	2832960
7091449	3441975
6097525	3990607
2414957	3990607
170521	712995
7260404	3990607
785494	5215538
7214344	869090
2175173	1805756
2443944	6398153
158652	158652
4697075	2060205
8015346	1782792
4724057	3157209
3152047	5559262
4811003	3574081
4811003	419116
6185403	5499527
6185403	4789373
3701294	6095482
7228012	130288
3120870	349130
3120870	3120870
3120870	7248396
6185403	5536887
8725045	5297811
6092839	7456923
3679391	5630712
1615732	1531463
67405	1380929
1380929	2097240
2847699	712995
6375116	743658
8176285	3990607
5200329	3990607
5808490	691733
5808490	3990607
9294070	3990607
8176285	3990607
774907	2956066
8145356	5974433
6341510	1531463
2956066	712995
2956066	3104974
2956066	2956066
1354712	58866
1179925	5974433
8759276	712995
7487368	712995
667883	2956066
5204864	712995
1645784	419116
6772173	869090
9231518	712995
9231518	9231518
2969402	3908170
7649980	2956066
3274693	3274693
3274693	364772
3274693	2956066
3990607	3990607
68571	3208297
68571	2956066
6733064	2956066
8580622	8580622
8015346	712995
7449890	712995
4728650	4728650
4244519	712995
9213381	349130
5776838	5776838
5776838	5623899
6506440	9214687
6506440	712995
7100037	4132383
5299052	395857
3735065	349130
7568128	5511906
7568128	7353970
7568128	7568128
3571955	712995
1653729	3908170
6659095	712995
5029595	7119965
8893169	4132383
8015346	1667840
9014709	712995
45843	712995
3933614	712995
6656513	6031995
5626617	5626617
2263419	7932273
3130081	1714410
9162290	6354331
5247266	349130
7309666	712995
6279632	712995
5714432	2956066
7038887	8665686
7038887	3574081
1424739	2956066
1424739	712995
1051769	1051769
8959105	712995
8423254	712995
678572	2097240
1861627	1861627
1861627	1953800
2910704	2805070
2910704	1140684
3476136	6824418
5291590	712995
4706789	1497311
4706789	4706789
7732719	907770
6213491	3214872
6356060	4870005
6356060	712995
6356060	4606149
6461720	1643939
7869835	6504837
9074528	2628369
9074528	712995
9074528	9074528
814601	2097240
4724046	712995
8199671	6797250
8199671	4747870
8015346	6504837
8015346	712995
9050433	712995
6802252	4393970
5915270	2956066
6784621	8083910
3827807	5974433
7944338	1714410
6590555	2805070
1606150	6416660
3162899	4294365
2399935	1667256
6435921	1519955
4909000	3293881
6288172	3994824
678572	2429640
4229637	7387369
3251207	419116
3251207	3552975
1420026	5536887
3390810	4098013
3390810	3390810
6195240	507062
5628686	5352399
6802252	1220827
5442244	3908170
4218014	5352399
5024858	1381755
5024858	2414957
3371460	6464269
4816045	712995
1538049	712995
4478914	3122926
8731410	2600357
6833276	3214872
6833276	4359558
1318499	712995
6252787	7501629
2614596	5974433
2334092	6504837
440502	1531463
8457059	2320035
8015346	2658050
8015346	8015346
8015346	712995
1436907	712995
4400904	4514817
4400904	4400904
8036988	2097240
8036988	5974433
3972606	5974433
6174837	521776
6174837	1643939
3214482	3214482
6039807	7549930
6631259	4785185
6631259	8096588
3747801	712995
8427065	1531463
6435921	712995
6802252	2658050
6661139	6661139
4400904	1519955
3315422	712995
6212667	4727666
5181947	712995
5561494	1714410
5561494	213615
1598462	5495304
7945697	3301202
7945697	5495304
7017670	2217210
6380584	7137636
3575125	2097240
5013415	5013415
5013415	5013415
4160323	5465700
1281264	712995
8276928	2658050
3670532	951043
6616571	1531463
1082933	2097240
3306766	3306766
8109311	3293881
4478914	4478914
1281264	1281264
8669711	2097240
8667476	8626917
290163	1714410
290163	290163
1133286	3574081
814601	2097240
8274639	1531463
4674270	4674270
6751201	3994824
6105651	1518628
3480922	419116
1965985	1714410
3907250	4983450
8035148	1714410
5328198	2097240
5328198	5328198
3687439	5668710
3818405	4785185
4388946	7214344
4388946	1518628
6147251	4393970
3910919	2097240
7818934	2097240
7818934	7214344
7818934	3038791
4724057	3157209
4724057	4393970
4674270	6487788
4674270	7137636
4674270	7148586
3290399	3290399
1934212	1782792
1934212	4393970
4984066	1531463
1965985	1965985
5417164	5974433
5417164	5417164
2938494	1714410
8187094	1896918
8507779	7214344
8187094	5588279
8187094	3574081
3656094	6791223
5654715	8315956
6157456	3994824
6157456	1782792
5530553	8143158
3620605	1896918
5594549	4356204
2845414	1735729
2845414	5090081
6484304	1782792
6484304	3666197
7337505	7849908
8241998	810492
5530553	2658050
7913721	7214344
7220545	1896918
8360054	1472533
5621202	865004
2409473	1472533
8426202	2658050
8176285	1714410
1115237	3994824
6725958	2001031
539617	1896918
3609407	7137636
5921433	8143158
8176285	1714410
5779223	8143158
8302299	2443944
8302299	8143158
5631237	7214344
4359558	992489
656912	419116
656912	1090562
7645314	1988825
3587282	7923337
4577697	6439899
4577697	3827807
4564080	7214344
1115237	1531463
1115237	4685471
125440	7117003
3789716	8255399
3860928	4640905
3694146	7137636
2832033	7387369
2832033	7923337
937153	1714410
937153	5056575
5779223	1782792
8176285	1714410
8176285	4785185
67405	349130
7522709	3574081
8161281	5987698
5236005	5236005
8284811	5250620
8284811	3908170
4092276	4092276
6597544	5974433
8199671	5974433
7690581	5974433
3548063	5974433
1934212	5974433
8277941	2658050
6010635	5974433
5056575	5974433
5046896	5215538
5046896	5974433
1934212	5974433
617	5974433
5901194	4640905
6872683	3302563
494572	2097240
3377018	6824418
5112139	7117003
5112139	5974433
3822261	5974433
5779223	1735003
5779223	8143158
5478271	6940428
6398153	5496463
3543300	3553155
3543300	3553155
3543300	6281477
3543300	1714410
1538049	2658050
1452257	1714410
2769240	3908170
6947773	1782792
1538049	5712507
4552561	2245776
4552561	7433039
1782011	3928385
7679339	6708503
user4911648	1714410
8098501	7456923
8098501	8143158
7108619	2097240
7108619	5974433
2612484	5974433
7679339	4023951
7119128	3374996
7119128	7117003
8167117	7117003
8167117	3994824
8070652	423926
1538049	7456923
2011225	7456923
2539909	1714410
6119768	2464597
2584518	1714410
4406595	7847518
8146928	1524289
4730816	7117003
4730816	1397946
1582206	2595935
8059047	826970
8059047	2324271
4587557	2464597
4587557	1844390
8123201	1714410
8098501	5712507
7396273	1714410
8098501	604734
8047378	1735003
7403989	5708323
7403989	3856463
8056209	645853
5651936	2891324
5756552	1714410
1783952	1714410
3577568	1714410
1536499	1937197
1536499	7755254
3392132	3392132
3392132	1735003
3392132	1937197
7833215	7833215
1658670	5465700
7913721	130288
6069756	562769
5577386	1714410
1937197	1735003
1937197	1090562
1937197	645853
6598743	7847518
6598743	6398153
7959013	1090562
1714410	1714410
1714410	1738214
5453184	1862500
5453184	5453184
7906238	7214344
7906238	7847518
5688175	189205
562222	2001031
3849791	825707
6398153	6398153
6861168	102441
5896419	5974433
6216713	3041068
6216713	5215538
7857077	7849908
7857077	6521116
1965914	628538
4013781	5974433
