user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
5094841	registered	VnC	1350.0	https://stackoverflow.com/users/5094841/vnc	https://lh5.googleusercontent.com/-lGdaOmZhtsA/AAAAAAAAAAI/AAAAAAAAABs/OeibrVXVuh0/photo.jpg?sz=128	0	3	0	0	1	1	2	0.5
826955	registered	user826955	2402.0	https://stackoverflow.com/users/826955/user826955	https://www.gravatar.com/avatar/56f74487cc243f2f50e9469cf4d0e4ef?s=128&d=identicon&r=PG	1	0	1	0	0	0	0	
11656158	registered	John Wells	1.0	https://stackoverflow.com/users/11656158/john-wells	https://www.gravatar.com/avatar/1af15060106c2c31a6a1a0c03e9fddd6?s=128&d=identicon&r=PG	1	0	1	0	0	0	0	
10679609	registered	Sakurai.JJ	15.0	https://stackoverflow.com/users/10679609/sakurai-jj	https://www.gravatar.com/avatar/5d0b5aa6100766af27b55923e14bd8dc?s=128&d=identicon&r=PG&f=1	3	0	2	0	0	0	0	
6510332	registered	dravid07	205.0	https://stackoverflow.com/users/6510332/dravid07	https://www.gravatar.com/avatar/64a7db75b4740c4f5b7bc2cc191b1d81?s=128&d=identicon&r=PG&f=1	1	0	0	0	0	0	0	
7500017	registered	S&#233;lim ben sliman	35.0	https://stackoverflow.com/users/7500017/s%c3%a9lim-ben-sliman	https://i.stack.imgur.com/hKCu7.jpg?s=128&g=1	1	0	0	0	0	0	0	
11227347	registered	Mdd	1.0	https://stackoverflow.com/users/11227347/mdd	https://lh3.googleusercontent.com/-ZmZaCA5ls5U/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfh3lzUou75WuumQBuYS3z0ybeU1A/mo/photo.jpg?sz=128	2	0	1	0	0	0	0	
8846998	registered	Eiffelbear	163.0	https://stackoverflow.com/users/8846998/eiffelbear	https://i.stack.imgur.com/d20nq.png?s=128&g=1	1	0	0	0	0	0	0	
347484	registered	Boppity Bop	6833.0	https://stackoverflow.com/users/347484/boppity-bop	https://i.stack.imgur.com/H60ZG.jpg?s=128&g=1	1	0	0	0	0	0	0	
10858691	registered	MasayoMusic	132.0	https://stackoverflow.com/users/10858691/masayomusic	https://lh6.googleusercontent.com/-fmYSLY2fD0E/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcbSmJpGprNawDUpFgBVjcmb0W5W9g/mo/photo.jpg?sz=128	6	1	3	1	1	1	1	1.0
