from	to	weight
2956066	712995	3.0
2956066	712995	1.0
7487368	712995	1.0
667883	2956066	1.0
5204864	712995	2.0
1645784	419116	7.0
9231518	712995	3.0
9231518	712995	1.0
2969402	3908170	1.0
7649980	2956066	2.0
364772	3274693	39.0
2956066	3274693	41.0
3274693	3274693	8.0
2956066	364772	2.0
3990607	3990607	26.0
2956066	3208297	1.0
68571	3208297	2.0
68571	2956066	1.0
9213381	349130	5.0
5623899	5776838	6.0
5299052	395857	3.0
3735065	349130	2.0
7568128	5511906	1.0
5511906	7353970	2.0
7568128	7353970	3.0
1653729	3908170	1.0
6659095	712995	10.0
8893169	4132383	1.0
5626617	5626617	1.0
2263419	7932273	1.0
6279632	712995	28.0
5714432	2956066	3.0
8665686	3574081	9.0
7038887	3574081	6.0
2956066	712995	3.0
1051769	1051769	3.0
8959105	712995	1.0
678572	2097240	1.0
1861627	1953800	12.0
1140684	2805070	2.0
5291590	712995	1.0
4706789	1497311	2.0
6213491	3214872	3.0
4870005	712995	2.0
4606149	712995	1.0
4870005	4606149	1.0
6461720	1643939	1.0
7869835	6504837	1.0
2628369	712995	2.0
9074528	712995	2.0
4724046	712995	5.0
8199671	6797250	1.0
6797250	4747870	1.0
8199671	4747870	2.0
6504837	712995	1.0
6802252	4393970	2.0
6784621	8083910	2.0
3827807	5974433	12.0
7944338	1714410	1.0
6590555	2805070	1.0
2399935	1667256	1.0
6435921	1519955	2.0
6288172	3994824	2.0
3552975	419116	7.0
1420026	5536887	3.0
3390810	4098013	2.0
3390810	4098013	2.0
5628686	5352399	1.0
6802252	1220827	5.0
4218014	5352399	2.0
2414957	1381755	3.0
5024858	1381755	1.0
3371460	6464269	4.0
4816045	712995	2.0
1538049	712995	1.0
8731410	2600357	1.0
6833276	3214872	1.0
3214872	4359558	1.0
6833276	4359558	2.0
1318499	712995	2.0
6252787	7501629	1.0
2334092	6504837	3.0
440502	1531463	6.0
4400904	4514817	2.0
4400904	4514817	2.0
2097240	5974433	20.0
8036988	5974433	9.0
3972606	5974433	5.0
1643939	521776	1.0
6174837	521776	4.0
6174837	1643939	3.0
3214482	3214482	1.0
3747801	712995	2.0
8427065	1531463	8.0
6802252	2658050	2.0
3315422	712995	1.0
6212667	4727666	4.0
213615	1714410	2.0
5561494	1714410	1.0
1598462	5495304	3.0
5495304	3301202	5.0
7945697	3301202	4.0
7017670	2217210	1.0
6380584	7137636	4.0
3575125	2097240	2.0
4160323	5465700	1.0
1281264	712995	1.0
8276928	2658050	2.0
6616571	1531463	3.0
4478914	4478914	2.0
1714410	290163	22.0
290163	290163	13.0
814601	2097240	1.0
8274639	1531463	1.0
6105651	1518628	4.0
3480922	419116	3.0
3907250	4983450	1.0
8035148	1714410	2.0
5328198	2097240	3.0
5328198	2097240	3.0
3818405	4785185	1.0
6147251	4393970	1.0
3910919	2097240	1.0
3038791	2097240	1.0
2097240	7214344	1.0
3038791	7214344	2.0
4393970	3157209	1.0
4724057	3157209	2.0
4724057	4393970	1.0
7148586	6487788	3.0
4674270	6487788	1.0
6487788	7137636	1.0
7148586	7137636	4.0
4674270	7137636	2.0
4393970	1782792	6.0
1934212	1782792	5.0
4984066	1531463	2.0
1965985	1965985	1.0
5417164	5974433	1.0
2938494	1714410	3.0
8187094	1896918	2.0
8187094	5588279	1.0
8187094	3574081	1.0
6157456	3994824	2.0
6157456	1782792	2.0
5530553	8143158	2.0
3620605	1896918	1.0
5594549	4356204	1.0
5090081	1735729	2.0
1782792	3666197	3.0
6484304	3666197	1.0
7337505	7849908	2.0
5530553	2658050	3.0
8360054	1472533	2.0
5621202	865004	3.0
2409473	1472533	1.0
8176285	1714410	1.0
1115237	3994824	4.0
539617	1896918	1.0
5921433	8143158	1.0
8176285	1714410	1.0
5779223	8143158	3.0
2443944	8143158	2.0
8302299	8143158	1.0
5631237	7214344	2.0
419116	1090562	1.0
3827807	6439899	10.0
4564080	7214344	1.0
4685471	1531463	18.0
1115237	1531463	9.0
3789716	8255399	18.0
3860928	4640905	1.0
2832033	7387369	1.0
2832033	7923337	1.0
5056575	1714410	8.0
937153	1714410	1.0
1714410	4785185	1.0
67405	349130	14.0
8161281	5987698	1.0
5236005	5236005	1.0
3908170	5250620	2.0
4092276	4092276	1.0
8199671	5974433	1.0
7690581	5974433	1.0
8277941	2658050	2.0
6010635	5974433	1.0
5215538	5974433	11.0
5046896	5974433	7.0
1934212	5974433	5.0
617	5974433	1.0
7117003	5974433	1.0
5478271	6940428	4.0
6398153	5496463	2.0
3553155	6281477	4.0
3553155	6281477	4.0
1714410	6281477	3.0
3553155	1714410	1.0
3553155	1714410	1.0
1538049	2658050	1.0
1452257	1714410	22.0
6947773	1782792	1.0
7433039	2245776	3.0
7679339	6708503	6.0
user4911648	1714410	1.0
8098501	7456923	2.0
8098501	8143158	2.0
2097240	5974433	4.0
7108619	5974433	2.0
7679339	4023951	1.0
7117003	3374996	12.0
7119128	3374996	9.0
3994824	7117003	1.0
1538049	7456923	1.0
2539909	1714410	3.0
4406595	7847518	2.0
8146928	1524289	2.0
7117003	1397946	2.0
1582206	2595935	3.0
8123201	1714410	1.0
7396273	1714410	2.0
8098501	604734	1.0
5651936	2891324	3.0
5756552	1714410	2.0
3577568	1714410	7.0
7755254	1937197	2.0
1536499	1937197	3.0
1536499	7755254	1.0
3392132	1735003	1.0
3392132	1937197	4.0
